x	y	z
740879.411	7643085.818	180.000
740883.187	7643103.739	180.000
740898.644	7643117.331	180.000
740920.400	7643125.826	180.000
740941.770	7643127.281	180.000
740943.670	7643105.359	180.000
740948.130	7643088.417	179.718
740972.218	7643075.526	178.350
740984.144	7643070.625	177.129
741004.199	7643054.828	174.889
741014.054	7643046.674	173.968
741038.976	7643011.235	170.000
741061.644	7642976.919	166.205
741096.362	7642935.152	161.100
741105.105	7642932.611	159.986
741124.019	7642923.047	158.876
741156.927	7642925.789	156.351
741183.451	7642930.652	154.492
741196.282	7642931.932	153.537
741228.459	7642939.062	150.086
741253.138	7642955.088	147.413
741264.415	7642965.501	145.897
741277.449	7642980.431	144.665
741289.076	7643009.271	141.616
741295.911	7643017.532	140.825
741298.051	7643026.223	140.067
741296.171	7643069.985	140.000
741283.940	7643078.714	140.000
740759.836	7642996.011	140.000
740778.331	7643043.218	140.000
740765.945	7643109.075	146.090
740754.580	7643121.433	147.649
740737.318	7643136.655	148.661
740728.354	7643143.508	149.513
740716.561	7643152.321	150.000
740653.372	7643158.556	156.313
740627.021	7643157.391	156.376
740629.708	7643115.772	157.932
740620.557	7643095.267	160.000
740622.253	7643069.525	162.560
740616.875	7643022.093	166.835
740627.538	7642984.861	170.000
740645.483	7642943.103	170.000
740677.632	7642912.052	170.000
740704.034	7642891.581	170.000
740738.485	7642888.545	170.000
740801.001	7642888.557	170.000
740815.612	7642883.990	170.000
740831.115	7642914.871	170.000
740838.638	7642961.576	171.305
740843.176	7642972.499	173.256
740860.017	7643001.557	176.387
740871.880	7643034.944	179.976
740881.928	7643063.979	180.000
740906.640	7643043.006	182.011
740915.806	7642987.144	186.234
740910.783	7642949.380	190.000
740910.015	7642933.327	191.136
740917.921	7642913.974	193.251
740935.964	7642884.134	200.000
740977.616	7642858.315	204.213
740990.699	7642838.336	206.650
741013.741	7642797.362	210.000
740935.964	7642884.134	200.000
740854.269	7643053.088	200.000
741165.622	7643101.145	200.000
